Rounded P,"T, C",Data Source,mNaCl_rounded (group),"mNaCl, mol/kg",mNaCl_rounded,"P, bar",Ref,"solubility_experimental, mol/kg (bin)","T, C (group)",Temperature,"mCO2, Exp, mol/kg",Round_T,"Solubility Est New, Mol/Kg","Solubility Est Old, Mol/Kg",Solubility_estimated_Duan_Sun,"Solubility_estimated_XGB, mol/kg","solubility_experimental, mol/kg","T, K"
47.37,60.02,"Rumpf et al., 1994",4,3.997,4,47.37,Link,0.3,60,60.0,0.3305,60,0.317999607,0.318022306,0.32,0.32,0.33,333.17
73.03,60,"Rumpf et al., 1994",4,3.997,4,73.03,Link,0.4,60,60.0,0.4472,60,0.426966432,0.425835908,0.43,0.43,0.45,333.15
96.42,60.01,"Rumpf et al., 1994",4,3.997,4,96.42,Link,0.5,60,60.0,0.5272,60,0.489630574,0.492770902,0.49,0.49,0.53,333.16
33.87,79.95,"Rumpf et al., 1994",4,4.001,4,33.87,Link,0.1,80,80.0,0.2032,80,0.199599967,0.200406151,0.2,0.2,0.2,353.1
55.92,79.95,"Rumpf et al., 1994",4,4.001,4,55.92,Link,0.3,80,80.0,0.3084,80,0.301765015,0.298896025,0.3,0.3,0.31,353.1
69.4,79.97,"Rumpf et al., 1994",4,4.001,4,69.4,Link,0.3,80,80.0,0.3594,80,0.344924080,0.348860124,0.35,0.34,0.36,353.12
83.37,79.96,"Rumpf et al., 1994",4,4.001,4,83.37,Link,0.4,80,80.0,0.4116,80,0.395858422,0.393437710,0.39,0.4,0.41,353.11
96.37,79.96,"Rumpf et al., 1994",4,4.001,4,96.37,Link,0.4,80,80.0,0.4613,80,0.436195674,0.428818027,0.43,0.44,0.46,353.11
12.04,119.92,"Rumpf et al., 1994",4,4.001,4,12.04,Link,0.0,120,120.0,0.0518,120,0.053864079,0.053878658,0.05,0.05,0.05,393.07
23.31,120.04,"Rumpf et al., 1994",4,4.003,4,23.31,Link,0.0,120,120.0,0.1035,120,0.107370395,0.107302632,0.11,0.11,0.1,393.19
47.42,119.95,"Rumpf et al., 1994",4,4.001,4,47.42,Link,0.1,120,120.0,0.2084,120,0.206741818,0.206941143,0.21,0.21,0.21,393.1
76.5,120.04,"Rumpf et al., 1994",4,4.003,4,76.5,Link,0.3,120,120.0,0.3135,120,0.306754946,0.305555605,0.31,0.31,0.31,393.19
93.28,119.97,"Rumpf et al., 1994",4,4.003,4,93.28,Link,0.3,120,120.0,0.3657,120,0.352100436,0.353778562,0.35,0.35,0.37,393.12
13.93,139.92,"Rumpf et al., 1994",4,4.003,4,13.93,Link,0.0,140,140.0,0.0505,140,0.052045833,0.051908289,0.05,0.05,0.05,413.07
25.5,139.93,"Rumpf et al., 1994",4,4.003,4,25.5,Link,0.0,140,140.0,0.1011,140,0.104391933,0.103864292,0.1,0.1,0.1,413.08
50.42,139.94,"Rumpf et al., 1994",4,4.003,4,50.42,Link,0.1,140,140.0,0.2027,140,0.202017062,0.202160025,0.2,0.2,0.2,413.09
86.71,139.92,"Rumpf et al., 1994",4,4.003,4,86.71,Link,0.3,140,140.0,0.3272,140,0.319867154,0.319957949,0.32,0.32,0.33,413.07
16.62,159.71,"Rumpf et al., 1994",4,4.003,4,16.62,Link,0.0,160,160.0,0.0506,160,0.051093532,0.051062213,0.05,0.05,0.05,432.86
28.58,159.81,"Rumpf et al., 1994",4,4.003,4,28.58,Link,0.0,160,160.0,0.1013,160,0.102747748,0.103424019,0.1,0.1,0.1,432.96
59.12,159.8,"Rumpf et al., 1994",4,4.003,4,59.12,Link,0.1,160,160.0,0.2188,160,0.220930204,0.220450549,0.22,0.22,0.22,432.95
90.48,159.83,"Rumpf et al., 1994",4,4.003,4,90.48,Link,0.3,160,160.0,0.3254,160,0.320979430,0.321350034,0.32,0.32,0.33,432.98
100,150,"Takenouchi and Kennedy, 1965",1,1.091107474,1.1,100,,0.5,150,150.0,0.582750583,150,0.558856182,0.563611980,0.56,0.56,0.58,423
200,150,"Takenouchi and Kennedy, 1965",1,1.091107474,1.1,200,,0.9,150,150.0,0.946969697,150,0.906266619,0.907061580,0.91,0.91,0.95,423
300,150,"Takenouchi and Kennedy, 1965",1,1.091107474,1.1,300,,1.1,150,150.0,1.120862349,150,1.110491685,1.114384030,1.11,1.11,1.12,423
400,150,"Takenouchi and Kennedy, 1965",1,1.091107474,1.1,400,,1.2,150,150.0,1.246643652,150,1.273585031,1.260358394,1.26,1.27,1.25,423
500,150,"Takenouchi and Kennedy, 1965",1,1.091107474,1.1,500,,1.3,150,150.0,1.348228043,150,1.376030391,1.377076979,1.38,1.38,1.35,423
600,150,"Takenouchi and Kennedy, 1965",1,1.091107474,1.1,600,,1.3,150,150.0,1.450676983,150,1.480331289,1.475836293,1.48,1.48,1.45,423
100,200,"Takenouchi and Kennedy, 1965",1,1.091107474,1.1,100,,0.5,200,200,0.582750583,200,0.568641194,0.563553453,0.56,0.57,0.58,473
200,200,"Takenouchi and Kennedy, 1965",1,1.091107474,1.1,200,,0.9,200,200,1.046025105,200,1.041195223,1.033602155,1.03,1.04,1.05,473
300,200,"Takenouchi and Kennedy, 1965",1,1.091107474,1.1,300,,1.3,200,200,1.348228043,200,1.366781256,1.367333973,1.37,1.37,1.35,473
400,200,"Takenouchi and Kennedy, 1965",1,1.091107474,1.1,400,,1.5,200,200,1.579970831,200,1.625490785,1.620413899,1.62,1.63,1.58,473
500,200,"Takenouchi and Kennedy, 1965",1,1.091107474,1.1,500,,1.7,200,200,1.763322884,200,1.825491641,1.825858999,1.83,1.83,1.76,473
600,200,"Takenouchi and Kennedy, 1965",1,1.091107474,1.1,600,,1.8,200,200,1.949462047,200,1.998846297,2.001091589,2,2,1.95,473
